"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Funded_by","Does your programme specifically/primarily target one of these beneficiary groups:","Local public institutions supported/involved through the implementation of activities","LCRP Appeal","Sector of Funding","report.id","site.id","start_date","Does your programme specifically/primarily target one of these beneficiary groups","Governorate","database.id","database"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0735681461",NA,"1.2.1.9 # of awareness campaigns conducted","Campaigns",1,"Kahlouniet Ech-Chouf","23050","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Kahlouniet Ech-Chouf","Mercy Corps","p0000000253","Mercy Corps",NA,NA,"UK","Women,Youth","Municipalities,Union of Municipalities","Yes","Social Stability","m1181975690","s0337197896","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i1326552482",NA,"1.2.1.10 # of bins distributed","Bins",100,"Kahlouniet Ech-Chouf","23050","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Kahlouniet Ech-Chouf","Mercy Corps","p0000000253","Mercy Corps",NA,NA,"UK","Women,Youth","Municipalities,Union of Municipalities","Yes","Social Stability","m1181975690","s0337197896","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0284153024",NA,"1.2.1.2: USD value of solid waste management projects","USD",177717,"Insariye","61032","Saida","LBN61","Sud","8",NA,NA,NA,"Insariye","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m0062381913","s0360313347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2018-12-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Insariye","61032","Saida","LBN61","Sud","8",NA,NA,NA,"Insariye","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1514773540","s0360313347","2018-12-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Insariye","61032","Saida","LBN61","Sud","8",NA,NA,NA,"Insariye","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m0062381913","s0360313347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i1326552482",NA,"1.2.1.10 # of bins distributed","Bins",1250,"Insariye","61032","Saida","LBN61","Sud","8",NA,NA,NA,"Insariye","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m0062381913","s0360313347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i1939193498",NA,"1.2.1.7:  # of solid waste facilitates constructed","Facilities",1,"Insariye","61032","Saida","LBN61","Sud","8",NA,NA,NA,"Insariye","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m0062381913","s0360313347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i2052089261",NA,"1.2.1.11 # of equipment & machnineries provided","Pieces of equip",2,"Insariye","61032","Saida","LBN61","Sud","8",NA,NA,NA,"Insariye","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m0062381913","s0360313347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0735681461",NA,"1.2.1.9 # of awareness campaigns conducted","Campaigns",2,"Insariye","61032","Saida","LBN61","Sud","8",NA,NA,NA,"Insariye","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m0062381913","s0360313347","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i1150184549",NA,"1.2.1.1: # of solid waste management projects completed","Projects",1,"Haouch El-Harime","52020","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Haouch El-Harime","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0035390983","s0395161029","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0284153024",NA,"1.2.1.2: USD value of solid waste management projects","USD",70022,"Haouch El-Harime","52020","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Haouch El-Harime","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0035390983","s0395161029","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i2052089261",NA,"1.2.1.11 # of equipment & machnineries provided","Pieces of equip",1,"Haouch El-Harime","52020","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Haouch El-Harime","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0035390983","s0395161029","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Haouch El-Harime","52020","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Haouch El-Harime","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0035390983","s0395161029","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i1326552482",NA,"1.2.1.10 # of bins distributed","Bins",44,"Haouch El-Harime","52020","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Haouch El-Harime","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0035390983","s0395161029","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Haouch El-Harime","52020","West Bekaa","LBN24","Bekaa","6",NA,NA,NA,"Haouch El-Harime","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0140884147","s0395161029","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Majdel Aanjar","51018","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Majdel Aanjar","United Nations Development Programme","p0000000364","UNDP",NA,NA,"UK",NA,"Municipalities","Yes","Social Stability","m0797119488","s0421596775","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-04-30","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Majdel Aanjar","51018","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Majdel Aanjar","United Nations Development Programme","p0000000364","UNDP",NA,NA,"UK",NA,"Municipalities","Yes","Social Stability","m1650844940","s0421596775","2019-04-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Majdel Aanjar","51018","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Majdel Aanjar","United Nations Development Programme","p0000000364","UNDP",NA,NA,"UK",NA,"Municipalities","Yes","Social Stability","m1305778571","s0421596775","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2018-12-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Majdel Aanjar","51018","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Majdel Aanjar","United Nations Development Programme","p0000000364","UNDP",NA,NA,"UK",NA,"Municipalities","Yes","Social Stability","m0499452316","s0421596775","2018-12-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Majdel Aanjar","51018","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Majdel Aanjar","United Nations Development Programme","p0000000364","UNDP",NA,NA,"UK",NA,"Municipalities","Yes","Social Stability","m1963585083","s0421596775","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2018-12-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Laboue","53041","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Laboue","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0736414733","s0428742811","2018-12-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Laboue","53041","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Laboue","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0833436379","s0428742811","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i1150184549",NA,"1.2.1.1: # of solid waste management projects completed","Projects",1,"Laboue","53041","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Laboue","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0404314018","s0428742811","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Laboue","53041","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Laboue","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0404314018","s0428742811","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i2052089261",NA,"1.2.1.11 # of equipment & machnineries provided","Pieces of equip",2,"Laboue","53041","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Laboue","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0404314018","s0428742811","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0284153024",NA,"1.2.1.2: USD value of solid waste management projects","USD",102681,"Laboue","53041","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Laboue","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m0404314018","s0428742811","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Laboue","53041","Baalbek","LBN21","Baalbek_Hermel","3",NA,NA,NA,"Laboue","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Germany",NA,"Municipalities","Yes","Social Stability","m1973323581","s0428742811","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Beit Younes","35097","Aakar","LBN51","Akkar","2",NA,NA,NA,"Beit Younes","Cooperazione Internazionale COOPI","p0000022709","COOPI",NA,NA,"EuropeAid",NA,"Municipalities,Union of Municipalities","No","Social Stability","m1521880501","s0455564727","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Beit Younes","35097","Aakar","LBN51","Akkar","2",NA,NA,NA,"Beit Younes","Cooperazione Internazionale COOPI","p0000022709","COOPI",NA,NA,"EuropeAid",NA,"Municipalities,Union of Municipalities","No","Social Stability","m1561896085","s0455564727","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0735681461",NA,"1.2.1.9 # of awareness campaigns conducted","Campaigns",1,"Jdeidet Ech-Chouf","23054","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Jdeidet Ech-Chouf","Mercy Corps","p0000000253","Mercy Corps",NA,NA,"UK","Women,Youth","Municipalities,Union of Municipalities","Yes","Social Stability","m0988928822","s0479158467","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Jdeidet Ech-Chouf","23054","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Jdeidet Ech-Chouf","Mercy Corps","p0000000253","Mercy Corps",NA,NA,"UK","Women,Youth","Municipalities,Union of Municipalities","Yes","Social Stability","m0988928822","s0479158467","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i1326552482",NA,"1.2.1.10 # of bins distributed","Bins",250,"Jdeidet Ech-Chouf","23054","Chouf","LBN33","Mont Liban","5",NA,NA,NA,"Jdeidet Ech-Chouf","Mercy Corps","p0000000253","Mercy Corps",NA,NA,"UK","Women,Youth","Municipalities,Union of Municipalities","Yes","Social Stability","m0988928822","s0479158467","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i1150184549",NA,"1.2.1.1: # of solid waste management projects completed","Projects",1,"Rachaiya","55001","Rachaiya","LBN23","Bekaa","6",NA,NA,NA,"Rachaiya","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m2026227654","s0483070934","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0284153024",NA,"1.2.1.2: USD value of solid waste management projects","USD",98286,"Rachaiya","55001","Rachaiya","LBN23","Bekaa","6",NA,NA,NA,"Rachaiya","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m2026227654","s0483070934","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i2052089261",NA,"1.2.1.11 # of equipment & machnineries provided","Pieces of equip",2,"Rachaiya","55001","Rachaiya","LBN23","Bekaa","6",NA,NA,NA,"Rachaiya","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m2026227654","s0483070934","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Rachaiya","55001","Rachaiya","LBN23","Bekaa","6",NA,NA,NA,"Rachaiya","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m2026227654","s0483070934","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Rachaiya","55001","Rachaiya","LBN23","Bekaa","6",NA,NA,NA,"Rachaiya","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1579031304","s0483070934","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Rachaiya","55001","Rachaiya","LBN23","Bekaa","6",NA,NA,NA,"Rachaiya","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1066175277","s0483070934","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2018-12-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Rachaiya","55001","Rachaiya","LBN23","Bekaa","6",NA,NA,NA,"Rachaiya","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1388724216","s0483070934","2018-12-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i1960551670",NA,"SW Output Indicator: # of municipalities benefitting from improved integrated solid waste management systems","Municipalities",1,"Rachaiya","55001","Rachaiya","LBN23","Bekaa","6",NA,NA,NA,"Rachaiya","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m2026227654","s0483070934","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Qabaait","35163ND","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qabaait","Cooperazione Internazionale COOPI","p0000022709","COOPI",NA,NA,"EuropeAid",NA,"Municipalities,Union of Municipalities","No","Social Stability","m1320546582","s0501184570","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Qabaait","35163ND","Aakar","LBN51","Akkar","2",NA,NA,NA,"Qabaait","Cooperazione Internazionale COOPI","p0000022709","COOPI",NA,NA,"EuropeAid",NA,"Municipalities,Union of Municipalities","No","Social Stability","m0195986679","s0501184570","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i2052089261",NA,"1.2.1.11 # of equipment & machnineries provided","Pieces of equip",1,"Hazerta","51080","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Hazerta","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1856396819","s0515046215","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-02-28","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Hazerta","51080","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Hazerta","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m0424743752","s0515046215","2019-02-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i1960551670",NA,"SW Output Indicator: # of municipalities benefitting from improved integrated solid waste management systems","Municipalities",1,"Hazerta","51080","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Hazerta","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1856396819","s0515046215","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-05-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Hazerta","51080","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Hazerta","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1844609310","s0515046215","2019-05-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-03-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Hazerta","51080","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Hazerta","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1785418926","s0515046215","2019-03-01",NA,NA,10213,"LCRP-2019-R Social Stability"
"2019-01-31","OUTPUT 1.2: Integrated solid waste management services improved- Cadastre","OUTCOME 1: Strengthen municipalities, national and local institutions","Activity-1.2.1: Municipalities provided with Solid",NA,"i0478653482",NA,"Put '1' in THIS LINE for each month for which Activity-1.2.1 will be ongoing in this location","1",1,"Hazerta","51080","Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Hazerta","United Nations Development Programme","p0000000364","UNDP",NA,NA,"Netherlands",NA,"Municipalities","Yes","Social Stability","m1856396819","s0515046215","2019-01-01",NA,NA,10213,"LCRP-2019-R Social Stability"
