"end_date","form","form.category","indicator.category","indicator.description","indicator.id","indicator.listHeader","indicator.name","indicator.units","indicator.value","location.adminlevel.cadastral_area","location.adminlevel.cadastral_area.code","location.adminlevel.caza","location.adminlevel.caza.code","location.adminlevel.governorate","location.adminlevel.governorate.code","location.alternate_name","location.latitude","location.longitude","location.name","partner.description","partner.id","partner.label","project.description","project.label","Funded_by","report.id","site.id","start_date","Direct implementation (refers to services being provided by an NGO partner in the SDCs premises)","Case management for SGBV survivors (Gender)","Case management for SGBV survivors (Nationality)","Like skills (Gender)","Focused PSS (Gender)","Socio Economic Empowerment (Nationality)","Direct provision of legal services (Age)","Socio Economic Empowerment (Gender)","Focused PSS (Nationality)","Engagement of men and boys","Awareness raising (Gender)","Case management for SGBV survivors (Age)","Like skills (Age)","Direct provision of legal services (Gender)","Awareness raising (Age)","Direct provision of MH (Gender)","Awareness raising (Nationality)","Direct provision of MH (Age)","Secured funding","Direct provision of legal services (Nationality)","Focused PSS (Age)","Support to NGO (refers to provision of capacity building, incentives or other forms of support to SDCs staff and structure to directly implement activities)","Referral to legal services","Socio Economic Empowerment (Age)","Direct provision of MH (Nationality)","Referral to MH","Like skills (Nationality)","W/G/M/B","Group (emotional support)","Individual PSS","Group (life skills)","Group (recreational activities)","Group (technical skills)","Legal awareness","Legal representation","Individual legal counselling","database.id","database"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i0957559047",NA,"3.2.C_OTH_Male_<18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0338629165","s1080819559","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i1719169578",NA,"3.2.C_PRS_Male_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0105141181","s1080819559","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of adolescent girls and female youth referred to youth employability and Livelihood programs","i0184753274","Disability Indicator","3.2.J_Motor/Mobility: # of adolescent girls and female youth referred to youth employability and Livelihood programs","Adolescnets","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0338629165","s1080819559","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i0884585334",NA,"3.2.C_SYR_Male_<18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0097235252","s1080819559","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of Participants in the FGD (result from the Tool-1 of the M&E framework)","i1121654780",NA,"3.2.A: Total: # of Participants in the FGD (result from the Tool-1 of the M&E framework)","Persons","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0105141181","s1080819559","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i1460359571",NA,"3.2.C_PRL_Male_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0338629165","s1080819559","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# at risk and survivors accessing SGBV prevention and response services in safe spaces","i0334234433","Disability Indicator","3.2.C_Motor/Mobility: # at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0097235252","s1080819559","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i0535925246",NA,"3.2.C_LEB_Female_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","28",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0097235252","s1080819559","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i0535925246",NA,"3.2.C_LEB_Female_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","106",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0338629165","s1080819559","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i1719169578",NA,"3.2.C_PRS_Male_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0097235252","s1080819559","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i1398058107",NA,"3.2.C_PRL_Female_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","11",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0097235252","s1080819559","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i0102752024",NA,"3.2.C_SYR_Male_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0097235252","s1080819559","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i1499699482",NA,"3.2.C_SYR_Female_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","12",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0105141181","s1080819559","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of adolescent girls and female youth referred to youth employability and Livelihood programs","i0222061712",NA,"3.2.J_PRL: # of adolescent girls and female youth referred to youth employability and Livelihood programs","Adolescents","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0338629165","s1080819559","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of adolescent girls and female youth referred to youth employability and Livelihood programs","i1384796319","Disability Indicator","3.2.J_Intellectual: # of adolescent girls and female youth referred to youth employability and Livelihood programs","Adolescents","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0105141181","s1080819559","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of adolescent girls and female youth referred to youth employability and Livelihood programs","i0242590939","Disability Indicator","3.2.J_Speaking: # of adolescent girls and female youth referred to youth employability and Livelihood programs","Adolescents","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0338629165","s1080819559","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i0102752024",NA,"3.2.C_SYR_Male_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0105141181","s1080819559","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# at risk and survivors accessing SGBV prevention and response services in safe spaces","i1284847263","Disability Indicator","3.2.C_Visual (Seeing): # at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0097235252","s1080819559","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of adolescent girls and female youth referred to youth employability and Livelihood programs","i0531993016","Disability Indicator","3.2.J_Audio (Hearing): # of adolescent girls and female youth referred to youth employability and Livelihood programs","Adolescents","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0105141181","s1080819559","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# at risk and survivors accessing SGBV prevention and response services in safe spaces","i1664186393","Disability Indicator","3.2.C_Speaking: # at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0338629165","s1080819559","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i0102752024",NA,"3.2.C_SYR_Male_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0338629165","s1080819559","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-01-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i1499699482",NA,"3.2.C_SYR_Female_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","13",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0097235252","s1080819559","2019-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i1447175227",NA,"3.2.C_PRL_Male_<18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","0",NA,NA,"Trablous","LBN56","Nord","4",NA,NA,NA,"Trablous","ABAAD-Resource Center for Gender Equality","p0000001169","ABAAD",NA,NA,"UNICEF","m0105141181","s1080819559","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i1868732551",NA,"3.2.C_SYR_Female_<18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","22",NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","KAFA","p0000001386","KAFA",NA,NA,"UNICEF","m0275983822","s1082034767","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i0102752024",NA,"3.2.C_SYR_Male_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","73",NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","KAFA","p0000001386","KAFA",NA,NA,"UNICEF","m1244896625","s1082034767","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i0535925246",NA,"3.2.C_LEB_Female_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","5",NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","KAFA","p0000001386","KAFA",NA,NA,"UNICEF","m1244896625","s1082034767","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i0884585334",NA,"3.2.C_SYR_Male_<18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","17",NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","KAFA","p0000001386","KAFA",NA,NA,"UNICEF","m0275983822","s1082034767","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i1868732551",NA,"3.2.C_SYR_Female_<18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","156",NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","KAFA","p0000001386","KAFA",NA,NA,"UNICEF","m1244896625","s1082034767","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i0884585334",NA,"3.2.C_SYR_Male_<18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","108",NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","KAFA","p0000001386","KAFA",NA,NA,"UNICEF","m1244896625","s1082034767","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of adolescent girls and female youth referred to youth employability and Livelihood programs","i0427999727",NA,"3.2.J_SYR: # of adolescent girls and female youth referred to youth employability and Livelihood programs","Adolescents","44",NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","KAFA","p0000001386","KAFA",NA,NA,"UNICEF","m1244896625","s1082034767","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-02-28","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i1499699482",NA,"3.2.C_SYR_Female_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","45",NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","KAFA","p0000001386","KAFA",NA,NA,"UNICEF","m0275983822","s1082034767","2019-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
"2019-03-31","OUTPUT 3.2: Access of Individuals at risk and survivors to quality prevention and response services increased","OUTCOME 3: Reduce SGBV risks and improve access to quality services",NA,"# of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","i1499699482",NA,"3.2.C_SYR_Female_>=18: # of women, girls, men and boys at risk and survivors accessing SGBV prevention and response services in safe spaces","Persons","364",NA,NA,"Zahleh","LBN25","Bekaa","6",NA,NA,NA,"Zahleh","KAFA","p0000001386","KAFA",NA,NA,"UNICEF","m1244896625","s1082034767","2019-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169,"LCRP-2019-R SGBV"
